Date,SPY,TLT,GLD
2010-01-05,,,
2010-01-06,,,
2010-01-07,,,
2010-01-08,,,
2010-01-11,,,
2010-01-12,,,
2010-01-13,,,
2010-01-14,,,
2010-01-15,,,
2010-01-19,,,
2010-01-20,,,
2010-01-21,,,
2010-01-22,,,
2010-01-25,,,
2010-01-26,,,
2010-01-27,,,
2010-01-28,,,
2010-01-29,,,
2010-02-01,,,
2010-02-02,,,
2010-02-03,0.16428104370402757,0.13134790627493323,0.18264627231058203
2010-02-04,0.1923869765239161,0.14041334167639688,0.22809054855832653
2010-02-05,0.19277824149517636,0.13041037994075955,0.21868380314016
2010-02-08,0.19146832073554274,0.130416641976416,0.21867000495254207
2010-02-09,0.1981805529636807,0.13640608306604549,0.2241704898316407
2010-02-10,0.19756600280776918,0.1395968650664117,0.21667894522997116
2010-02-11,0.20173336808813627,0.12819718649728187,0.21999307484293223
2010-02-12,0.19803561653965257,0.12174908228022085,0.21643656424585822
2010-02-16,0.20746611799599898,0.11188508787163044,0.23370352805080025
2010-02-17,0.20600037967277346,0.11634013287640438,0.23134930110053353
2010-02-18,0.2016309655837804,0.11668144489747745,0.2316227171688793
2010-02-19,0.1995791489577562,0.11216519527819652,0.21732912615425162
2010-02-22,0.1883588296620025,0.11074673222780954,0.2112505295131828
2010-02-23,0.17622729677109156,0.12545063629033545,0.21493664580940625
2010-02-24,0.17817936538554488,0.12500527055600308,0.21549905638265998
2010-02-25,0.17750525351005297,0.12665852403183966,0.2176530812023583
2010-02-26,0.17687630685571598,0.12789014307238689,0.21706093032644846
2010-03-01,0.17449869061681672,0.12788212722063602,0.21701692224385577
2010-03-02,0.1686214246565398,0.12416994944906129,0.22033811430361508
2010-03-03,0.1614270579899472,0.12029172235470685,0.20818286854486348
2010-03-04,0.15687393149729004,0.12128057410717336,0.20917649806896307
2010-03-05,0.16172838547074378,0.12324814991180082,0.20850287322849861
2010-03-08,0.1098376117845339,0.11037404699315535,0.15160180160038741
2010-03-09,0.10990866675147044,0.10990152080683542,0.15220156298505713
2010-03-10,0.10292942042215712,0.10971492018780798,0.156898013917614
2010-03-11,0.09807040097487191,0.10598224439924232,0.15158425996859445
2010-03-12,0.09687289572703649,0.1030507558249766,0.15312355814461354
2010-03-15,0.09423113019145098,0.10116235813192632,0.13923646747109827
2010-03-16,0.09446610878480108,0.10376388336830766,0.1527221361095339
2010-03-17,0.08410212221619917,0.10445681397946861,0.13149434797030587
2010-03-18,0.084784712550613,0.09600058434421796,0.13292729226081215
2010-03-19,0.08826556482243025,0.09415158535707632,0.14641236774510327
2010-03-22,0.08886815367031721,0.09301209411315234,0.14650227543725539
2010-03-23,0.089786531173061,0.0934423322203183,0.14751294664193043
2010-03-24,0.0771379979750107,0.10076461245715038,0.1567597706555124
2010-03-25,0.07557243199677906,0.10218875570835913,0.1569395207184181
2010-03-26,0.0751127451721188,0.1003831396428131,0.16512878890287871
2010-03-29,0.07574952784177404,0.09822174588286788,0.16105701789942514
2010-03-30,0.07107882291207215,0.09946947070183762,0.16282475667634674
2010-03-31,0.07394359795288796,0.1033857531869317,0.15745177210962485
2010-04-01,0.07546760395220091,0.10337078511249351,0.1623158096714191
2010-04-05,0.07797469345155586,0.11422737562126571,0.16182014316060742
2010-04-06,0.0656625472537186,0.10721798944963472,0.16186860336612574
2010-04-07,0.07086785535878187,0.11650963874309184,0.16473007133011439
2010-04-08,0.07107209462464525,0.11652689080181351,0.16445347637814453
2010-04-09,0.07236887277256113,0.1166023186274135,0.15960486996133388
2010-04-12,0.07197357839130404,0.11738857589127213,0.16186695887942476
2010-04-13,0.07179375837065897,0.1158228412827253,0.1602806125155614
2010-04-14,0.07842426779270165,0.11818282602621959,0.1601989857014637
2010-04-15,0.07602279109455923,0.11434868666971601,0.1488717290389548
2010-04-16,0.09711994522415154,0.11647952421197962,0.16593023559402995
2010-04-19,0.09734321881174747,0.11627767901352608,0.16450890062346624
2010-04-20,0.09783690154009396,0.11706401509910805,0.14925482768934847
2010-04-21,0.09789337319512914,0.12081892765971179,0.1488801845659206
2010-04-22,0.09607766788890858,0.12014189605121546,0.14987089638678996
2010-04-23,0.09473237085727121,0.101410141154708,0.13467150693698995
2010-04-26,0.09605362230740794,0.09813669529410446,0.13663462082807168
2010-04-27,0.13059329149912824,0.10801901773855188,0.13627209183670166
2010-04-28,0.13133085618642218,0.11211018841650278,0.13751793234489812
2010-04-29,0.13726476773955865,0.11238074713401838,0.1334729711871145
2010-04-30,0.1506490573288067,0.1163503202987898,0.13370266500817002
2010-05-03,0.15518030866219523,0.11592033722770372,0.12942535473772868
2010-05-04,0.17452843098972173,0.10900016390680252,0.13306697901646106
2010-05-05,0.17522321779297695,0.10917775256365281,0.13305827793413977
2010-05-06,0.2077435780298365,0.14174581747120524,0.16012543526314277
2010-05-07,0.21118745056138058,0.1529002096670694,0.1608115650228316
2010-05-10,0.26552879189736434,0.17483817360737727,0.16148384587883996
2010-05-11,0.26537836772168155,0.1754539594507625,0.18012992666822975
2010-05-12,0.27066704802437386,0.17868585026823952,0.17903071991413347
2010-05-13,0.26973299463124617,0.17647668204229924,0.18271745693488803
2010-05-14,0.27519546147070056,0.183823608434791,0.1832113813596124
2010-05-17,0.2712274741410678,0.18465516435537335,0.16668586455302659
2010-05-18,0.2731852316506557,0.18870853488758454,0.16620915489278879
2010-05-19,0.26988574918902763,0.18870909252456627,0.19151072153944715
2010-05-20,0.2945061739051931,0.19781443719799655,0.19289010676729013
2010-05-21,0.30129487428578244,0.1964950827526063,0.1933687782480461
2010-05-24,0.29962339583840286,0.19645289330469023,0.19485737102916045
2010-05-25,0.30046544051699836,0.1961186491008028,0.19404661831947326
2010-05-26,0.29312186979912924,0.19442271178579912,0.1886983902112164
2010-05-27,0.3192727169818,0.21108489366027006,0.18800954644495796
2010-05-28,0.31542137387967645,0.211117278088892,0.18785542937409389
2010-06-01,0.3153531747788138,0.2093972410751784,0.1874791134960275
2010-06-02,0.32752324052666737,0.2133041802569419,0.18769417024076496
2010-06-03,0.320448491479779,0.20793360707044672,0.194267373721176
2010-06-04,0.3396173491699296,0.22584552978986572,0.19680845974880368
2010-06-07,0.3244166452766978,0.20171505533470308,0.18115046827451153
2010-06-08,0.3247700539960093,0.1969524157637584,0.18177710562170282
2010-06-09,0.27867222154444743,0.18014618961907147,0.1808283891096663
2010-06-10,0.3018009463826351,0.1927990721323082,0.1627997381042181
2010-06-11,0.29707913687196313,0.19333047105115206,0.16440637026643537
2010-06-14,0.29515214159224284,0.19456056903205485,0.1631250610545901
2010-06-15,0.30189785578412737,0.187368039202152,0.16818361157190725
2010-06-16,0.3018709326416088,0.18720574329915485,0.16657224329868656
2010-06-17,0.29823477101823775,0.18208344259690787,0.1722165349225012
2010-06-18,0.29751101643931044,0.18214371585619402,0.14756144861645626
2010-06-21,0.26379089786299365,0.16698478058069174,0.16399331182588145
2010-06-22,0.26712865553573184,0.17219401378483412,0.1634507879763366
2010-06-23,0.26307842592239894,0.17304908857548185,0.1594173070950353
2010-06-24,0.2700467611496625,0.17386849851621128,0.15916936303953988
2010-06-25,0.26940266909735183,0.17396172295490708,0.16100866218276616
2010-06-28,0.24161850551715278,0.15426287152335685,0.16955337693844547
2010-06-29,0.26021069918971684,0.15706607041838513,0.16954880660076013
2010-06-30,0.25613923775575614,0.15695799343546124,0.16751626688466106
2010-07-01,0.23564733070827015,0.15095335058188192,0.2150496826158716
2010-07-02,0.23457137651210203,0.1515463404780751,0.21335178947443212
2010-07-06,0.20643140700225956,0.125964382005926,0.2177863146984853
2010-07-07,0.231619028682095,0.13269585257673022,0.2094116199770351
2010-07-08,0.23118669370482622,0.13358720873703003,0.20947633770919433
2010-07-09,0.23131724845391483,0.13544657648817823,0.21284479004842233
2010-07-12,0.20761608148854155,0.11743200991242671,0.21006083377260062
2010-07-13,0.2136831569143161,0.11528683862155828,0.21003353468468933
2010-07-14,0.21358341936321862,0.11773294960594877,0.209779213208867
2010-07-15,0.19751670468593063,0.1195926657782088,0.20514886339510122
2010-07-16,0.21827431269716907,0.11930961250812115,0.2089744430693087
2010-07-19,0.21967088301660434,0.1202727069790749,0.20331923032150126
2010-07-20,0.2240110192274868,0.11980004702619254,0.20352106956325008
2010-07-21,0.22761849713472943,0.13003780875060494,0.19421284635613983
2010-07-22,0.23558420670286034,0.13375007500076802,0.1941537929343156
2010-07-23,0.2371233698851117,0.13820419169855266,0.1947198491879344
2010-07-26,0.23081862620655896,0.1365056454846291,0.19418573344555984
2010-07-27,0.23076058523217993,0.1403781353279101,0.19367055068750874
2010-07-28,0.23191624205417197,0.13676176757605515,0.19122059237881336
2010-07-29,0.20163483382798525,0.13056205448643957,0.19236289280310678
2010-07-30,0.1970150248683101,0.1402437245852422,0.19675131309536484
2010-08-02,0.2058005117425272,0.14768323927727853,0.14778567770082335
2010-08-03,0.20540988516767134,0.14736890438879235,0.14118055815222116
2010-08-04,0.20542618590462722,0.14576548590971405,0.13100256998413637
2010-08-05,0.1811392678725775,0.1419649090367372,0.12580319301854664
2010-08-06,0.1809024589182458,0.14550444182042666,0.12751415910026875
2010-08-09,0.1802912092697563,0.14461265880216378,0.12332948804524502
2010-08-10,0.18216787994622913,0.14468996895254668,0.11999564670151278
2010-08-11,0.20193929937026472,0.14722966787833772,0.11642472743141273
2010-08-12,0.20302437148035582,0.14452800384226303,0.12429692240557766
2010-08-13,0.20320269793266924,0.14672808100457785,0.12427463257507394
2010-08-16,0.1779221922875858,0.16824311098271943,0.11713728353264943
2010-08-17,0.18157701984977884,0.16798507117444375,0.11225849863375285
2010-08-18,0.17793565019111113,0.16798131764708074,0.11026132614052066
2010-08-19,0.1827677572091893,0.16654431263528408,0.10604154135647051
2010-08-20,0.1647382966678482,0.15953452024577833,0.10450462910035957
2010-08-23,0.16133430411995806,0.15250219347850438,0.10114481771338117
2010-08-24,0.16177181245979308,0.1577332580587473,0.09896293197245509
2010-08-25,0.16312737471809916,0.1522537481878451,0.07192276784176323
2010-08-26,0.16320699134429892,0.15322944321374574,0.07534341590129735
2010-08-27,0.17421623840995182,0.19058702322929913,0.0756043658678703
2010-08-30,0.17988044563393804,0.19391532704420186,0.0709877838862092
2010-08-31,0.15625471843890967,0.1847802498730961,0.07519287110852858
2010-09-01,0.1935941063990223,0.20432042483441806,0.07766721954074648
2010-09-02,0.195210360870918,0.20653070057684403,0.07692368450209187
2010-09-03,0.20149171391128287,0.21333486247353003,0.07946070909258748
2010-09-07,0.20450470477035582,0.2205999238806339,0.07908369578778215
2010-09-08,0.20525486957458103,0.2226660638413238,0.07670444726940105
2010-09-09,0.20549546876722996,0.23578485349146794,0.08632726925703006
2010-09-10,0.18137581336984357,0.23263186865528235,0.08451421215303068
2010-09-13,0.18266945885679714,0.23275250420375038,0.07589936345965673
2010-09-14,0.18208106918772843,0.23120260116952707,0.09925894910718676
2010-09-15,0.18197477380910898,0.21984405111456834,0.09698924707446963
2010-09-16,0.1783145527925891,0.22144486432662222,0.09773969803764171
2010-09-17,0.17835632718119526,0.22179250608253795,0.09786529682152771
2010-09-20,0.17055824371900108,0.215004032670238,0.09791332619091836
2010-09-21,0.17004059199014646,0.2215682672299551,0.09914070436754512
2010-09-22,0.17064467431950003,0.22415327863690235,0.09816469825230137
2010-09-23,0.16318855916085595,0.216491078480407,0.09795326595560545
2010-09-24,0.17382588752432848,0.22063653646700362,0.09556861537300548
2010-09-27,0.1724421402838924,0.22725895049172395,0.09383906036054673
2010-09-28,0.16752101618253384,0.20593661527945395,0.09635019012027883
2010-09-29,0.15547255993081563,0.19487282123799857,0.09578064693038622
2010-09-30,0.15683747095311693,0.19020164033693182,0.09283914001042166
2010-10-01,0.12582479926022203,0.17717586967244572,0.09255379967743481
2010-10-04,0.12850729814889675,0.17347784731313787,0.09464439101036518
2010-10-05,0.1381626192453133,0.16897082204723518,0.10946890247119576
2010-10-06,0.12930956281546724,0.15915991258177542,0.1092410787271132
2010-10-07,0.1292159667032695,0.1594153838395864,0.11965960381621588
2010-10-08,0.12945640208276127,0.14335086399288754,0.11317097302882984
2010-10-11,0.1292758805252727,0.14201382663446674,0.11286105826082726
2010-10-12,0.12541996896930413,0.1462065578614701,0.1138608324712602
2010-10-13,0.12652315356121938,0.1423918215849774,0.10789031777933787
2010-10-14,0.12829580992175885,0.1425364241348211,0.10677499694019965
2010-10-15,0.12800916134386173,0.14476193154176153,0.1142842117832824
2010-10-18,0.12815935412599072,0.14692628658494689,0.11335604988068508
2010-10-19,0.12997329308834518,0.14704533614655482,0.16523400615593276
2010-10-20,0.1328246079249165,0.1384008268428688,0.16532751823584854
2010-10-21,0.13067615249546882,0.13906184459673177,0.17450772450158847
2010-10-22,0.12544239031834056,0.14126771112032455,0.17451602014359313
2010-10-25,0.10672131410180871,0.1349265816903776,0.1762664795185476
2010-10-26,0.1043329826743751,0.1273767095967778,0.17626721437677728
2010-10-27,0.1053819887940612,0.1248833290524751,0.17883732039567876
2010-10-28,0.10483840353829398,0.12630767690900227,0.18409121306060228
2010-10-29,0.1035647467973121,0.13285122241480576,0.18671763818608125
2010-11-01,0.10330255778645689,0.13272908519324672,0.18690137831602602
2010-11-02,0.0999008327720024,0.14214998999251674,0.18640725656801896
2010-11-03,0.07666945604907499,0.15584181643802683,0.17627979570597863
2010-11-04,0.09773122014936392,0.15089790627316893,0.21074458968455712
2010-11-05,0.09686120079847955,0.15809421637460958,0.20577704096903
2010-11-08,0.09754284157281494,0.16005300183288002,0.20595484723519128
2010-11-09,0.1029759472997881,0.1732948132772342,0.21500275295107255
2010-11-10,0.10315243632601376,0.17251686408027236,0.21775810934912612
2010-11-11,0.10282801968199065,0.17266645717001258,0.2117860190809895
2010-11-12,0.11139971371405676,0.16743127669227836,0.23551440759641556
2010-11-15,0.11168293402718975,0.17619189401966223,0.23621495938486572
2010-11-16,0.12436965604797816,0.19767119445225378,0.23827955953001914
2010-11-17,0.1149033047018491,0.19567781634117887,0.21255939674178612
2010-11-18,0.1209848261715106,0.1963901011939311,0.2150179474891471
2010-11-19,0.12107563242239365,0.19560703931261594,0.20849398467403193
2010-11-22,0.12116287811921857,0.1944213207103303,0.21061028264905676
2010-11-23,0.13177069452888693,0.19519567651365816,0.20997157456305945
2010-11-24,0.14145738672154265,0.19748432153819562,0.21021097458908652
2010-11-26,0.14733916814755232,0.20305518424306118,0.20868283452874872
2010-11-29,0.14766229678179343,0.20532582386624504,0.20429268047918095
2010-11-30,0.1490851950213021,0.203306232317786,0.20694673090029983
2010-12-01,0.16625004344622513,0.21633773792892141,0.20573523401236546
2010-12-02,0.16962305030969424,0.20959983942640514,0.20562561352216682
2010-12-03,0.16941463410254623,0.20026882952773167,0.2147896014318534
