expiration,maturity_years,contract_symbol,last_trade_utc,minutes_from_reference_close,source_option_type,source_price_type,strike,forward,discount,displayed_bid,displayed_ask,last_trade_price,open_interest,volume,call_equivalent_mid,log_moneyness,implied_volatility,total_variance,black_vega,price_noise_scale,iv_uncertainty_approx
2026-09-18,0.06023271731690623,SPX260918P05475000,2026-08-27T19:59:48+00:00,-0.2,put,reference-session last trade,5475.0,7740.847104954341,0.9977591759338174,0.4,0.6,0.5,1236.0,1.0,2261.269740231269,-0.34631885099493515,0.49452391776341453,0.014730146243070993,10.828502748720563,1.9068794578747656,0.1760981644576922
2026-09-18,0.06023271731690623,SPX260918P05500000,2026-08-27T19:59:54+00:00,-0.1,put,reference-session last trade,5500.0,7740.847104954341,0.9977591759338174,0.4,0.6,0.45,13222.0,3.0,2236.275760832924,-0.3417630344590744,0.4837634926004411,0.01409608916907733,10.100734864071566,1.9068794578747656,0.18878621046252372
2026-09-18,0.06023271731690623,SPX260918P05525000,2026-08-27T19:59:46+00:00,-0.23333333333333334,put,reference-session last trade,5525.0,7740.847104954341,0.9977591759338174,0.45,0.55,0.55,4379.0,1.0,2211.4317814345786,-0.33722787929368314,0.48689113125843264,0.014278947081063814,11.890467895319903,1.9068794578747656,0.16037043072336243
2026-09-18,0.06023271731690623,SPX260918P05550000,2026-08-27T19:55:11+00:00,-4.816666666666666,put,reference-session last trade,5550.0,7740.847104954341,0.9977591759338174,0.45,0.65,0.6,3655.0,1.0,2186.537802036233,-0.33271319893915646,0.48490815755707034,0.01416287547662871,12.834683187714386,1.9068794578747656,0.14857238234754938
2026-09-18,0.06023271731690623,SPX260918P05630000,2026-08-27T13:39:45+00:00,-380.25,put,reference-session last trade,5630.0,7740.847104954341,0.9977591759338174,0.55,0.7,0.75,171.0,4.0,2106.867067961528,-0.31840168454590057,0.47605909263158075,0.013650676832028714,15.706144798415933,1.9068794578747656,0.12140977192997017
2026-09-18,0.06023271731690623,SPX260918P05775000,2026-08-27T14:37:16+00:00,-322.73333333333335,put,reference-session last trade,5775.0,7740.847104954341,0.9977591759338174,0.65,0.85,0.85,1315.0,2.0,1962.2919874511242,-0.2929728702896425,0.44684690056329507,0.012026796320182102,18.391967626205574,1.9068794578747656,0.10368001383156913
2026-09-18,0.06023271731690623,SPX260918P05800000,2026-08-27T19:00:53+00:00,-59.11666666666667,put,reference-session last trade,5800.0,7740.847104954341,0.9977591759338174,0.7,0.85,0.9,9578.0,13.0,1937.3980080527788,-0.28865320914512604,0.4434668321606704,0.011845536720015454,19.405227312232828,1.9068794578747656,0.09826627780199675
2026-09-18,0.06023271731690623,SPX260918P05825000,2026-08-27T14:17:49+00:00,-342.18333333333334,put,reference-session last trade,5825.0,7740.847104954341,0.9977591759338174,0.75,0.9,0.95,1444.0,1.0,1912.5040286544333,-0.28435212724573544,0.43994241647930715,0.011658002069783293,20.426705068053604,1.9068794578747656,0.09335227837880886
2026-09-18,0.06023271731690623,SPX260918P05875000,2026-08-27T14:26:49+00:00,-333.18333333333334,put,reference-session last trade,5875.0,7740.847104954341,0.9977591759338174,0.8,0.95,1.0,2061.0,2.0,1862.6660698577425,-0.27580506666727705,0.43024959053829825,0.011149962008170328,21.71202511599674,1.9068794578747656,0.08782596039232823
2026-09-18,0.06023271731690623,SPXW260918P05900000,2026-08-27T15:44:04+00:00,-255.93333333333334,put,reference-session last trade,5900.0,7740.847104954341,0.9977591759338174,0.85,0.95,1.1,1743.0,1.0,1837.822090459397,-0.27155877578582593,0.4286266781809113,0.011066004773346627,23.550285867461305,1.9068794578747656,0.08097054399282012
