contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration,acquired_utc,spot_reference
SPX260918C00200000,2026-08-28 13:33:54+00:00,200.0,7528.6,7522.9,7541.1,39.29004,0.52461493,6.0,3283,6.450685530395509,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C00400000,2026-08-18 14:10:10+00:00,400.0,7298.18,7321.0,7341.5,0.0,0.0,1.0,398,5.123294611511231,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C00600000,2026-07-20 19:27:28+00:00,600.0,6834.23,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000004e-05,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C00800000,2026-08-21 18:23:07+00:00,800.0,6868.67,6924.0,6943.1,0.0,0.0,3.0,346,3.972412178344727,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C01000000,2026-08-06 14:35:00+00:00,1000.0,6722.47,6721.7,6742.5,0.0,0.0,1.0,307,3.531495311889648,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C01200000,2026-08-06 16:08:03+00:00,1200.0,6498.04,6524.9,6544.5,0.0,0.0,1.0,58,3.3203141992187497,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C01400000,2026-06-26 15:01:39+00:00,1400.0,5962.04,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000004e-05,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C01600000,2026-08-21 18:37:19+00:00,1600.0,6069.19,6123.4,6143.9,0.0,0.0,1.0,38,2.7836334120178226,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPXW260918C01800000,2026-08-20 19:46:04+00:00,1800.0,5849.54,5922.4,5944.8,0.0,0.0,2.0,3,2.61487162689209,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPXW260918C02000000,2026-08-27 15:20:37+00:00,2000.0,5724.01,5726.4,5746.1,0.0,0.0,2.0,7,1.8203133984375,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C02200000,2026-08-21 16:35:41+00:00,2200.0,5479.33,5528.2,5542.0,0.0,0.0,450.0,2670,2.16174775970459,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C02300000,2025-09-17 13:48:01+00:00,2300.0,4356.4,0.0,0.0,0.0,0.0,,18,1.0000000000000004e-05,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C02500000,2026-08-21 16:19:39+00:00,2500.0,5180.28,5225.9,5246.4,0.0,0.0,1.0,1,1.50390873046875,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C02600000,2026-07-07 14:41:22+00:00,2600.0,4893.77,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000004e-05,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPXW260918C02800000,2026-08-24 17:44:20+00:00,2800.0,4853.91,4927.9,4947.7,0.0,0.0,2.0,1,1.5583518176269529,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C02900000,2026-08-25 15:52:29+00:00,2900.0,4766.97,4826.7,4847.2,0.0,0.0,30.0,15,1.4323758850097654,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPXW260918C03000000,2026-08-24 15:20:25+00:00,3000.0,4648.36,4727.7,4746.7,0.0,0.0,1.0,76,1.4094267810058594,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C03200000,2026-08-28 13:33:54+00:00,3200.0,4535.8,4527.8,4548.3,38.38965,0.85359454,6.0,47,1.3796417736816404,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C03400000,2026-08-24 14:12:24+00:00,3400.0,4248.88,4327.6,4348.1,0.0,0.0,320.0,75,1.278201851196289,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C03500000,2026-07-28 17:04:12+00:00,3500.0,3955.71,4228.1,4248.6,0.0,0.0,4.0,6,1.2637976263427733,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C03600000,2026-07-22 13:58:03+00:00,3600.0,3920.99,0.0,0.0,0.0,0.0,,0,1.0000000000000004e-05,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C03650000,2026-06-18 13:42:59+00:00,3650.0,3856.76,3766.5,3790.5,0.0,0.0,,0,1.0000000000000004e-05,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C03700000,2026-06-04 19:57:54+00:00,3700.0,3918.16,3769.3,3780.9,0.0,0.0,,0,1.0000000000000004e-05,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C03800000,2026-08-06 13:30:06+00:00,3800.0,3935.68,3930.3,3950.3,0.0,0.0,,3,1.2166176864624023,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C03900000,2026-02-02 11:38:26+00:00,3900.0,3080.64,2783.6,2807.6,0.0,0.0,,0,1.0000000000000004e-05,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C03950000,2026-06-04 19:57:54+00:00,3950.0,3672.06,3522.0,3533.5,0.0,0.0,,0,1.0000000000000004e-05,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPXW260918C04000000,2026-05-08 16:58:37+00:00,4000.0,3432.39,3425.3,3449.3,0.0,0.0,2.0,1,1.0000000000000004e-05,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C04075000,2026-06-18 15:44:26+00:00,4075.0,3437.91,3345.1,3369.1,0.0,0.0,,0,1.0000000000000004e-05,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C04150000,2026-03-20 14:59:02+00:00,4150.0,2481.33,3020.5,3044.5,0.0,0.0,1.0,2,1.0000000000000004e-05,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C04200000,2026-07-16 14:33:21+00:00,4200.0,3388.08,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000004e-05,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C04250000,2025-09-16 18:39:49+00:00,4250.0,2523.38,2549.5,2589.5,0.0,0.0,,0,1.0000000000000004e-05,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C04275000,2026-03-24 14:57:57+00:00,4275.0,2391.93,3126.6,3150.6,0.0,0.0,,0,1.0000000000000004e-05,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C04300000,2026-08-11 14:34:33+00:00,4300.0,3465.92,3432.3,3451.9,0.0,0.0,1.0,21,1.0653733255004885,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C04400000,2026-07-22 13:58:03+00:00,4400.0,3127.74,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000004e-05,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C04450000,2026-07-20 20:01:35+00:00,4450.0,3020.65,0.0,0.0,0.0,0.0,125.0,0,1.0000000000000004e-05,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
SPX260918C04500000,2026-07-16 19:31:29+00:00,4500.0,3038.41,0.0,0.0,0.0,0.0,41.0,0,1.0000000000000004e-05,True,REGULAR,USD,call,2026-09-18,2026-08-28T14:38:40.477756+00:00,7730.990234375
