split_rule,sample,model,dates,mean_loss_difference_vs_flat,bootstrap_ci_low,bootstrap_ci_high,bootstrap_two_sided_p,hac_statistic,hac_two_sided_p,hac_lags,inference_status
every_3,holdout,heston,1,-0.0018524554740888966,,,,,,,insufficient_dates_for_bootstrap
every_3,holdout,pchip,1,-0.001977247232280083,,,,,,,insufficient_dates_for_bootstrap
every_3,holdout,sabr,1,-0.0019385734902745506,,,,,,,insufficient_dates_for_bootstrap
every_3,holdout,svi,1,-0.001974714432657881,,,,,,,insufficient_dates_for_bootstrap
every_3,train,heston,1,-0.001692611725325698,,,,,,,insufficient_dates_for_bootstrap
every_3,train,pchip,1,-0.0019283326626884775,,,,,,,insufficient_dates_for_bootstrap
every_3,train,sabr,1,-0.00187788789935235,,,,,,,insufficient_dates_for_bootstrap
every_3,train,svi,1,-0.0019123813936925023,,,,,,,insufficient_dates_for_bootstrap
every_4,holdout,heston,1,-0.001859351762419005,,,,,,,insufficient_dates_for_bootstrap
every_4,holdout,pchip,1,-0.002061964312100587,,,,,,,insufficient_dates_for_bootstrap
every_4,holdout,sabr,1,-0.0020273719667768283,,,,,,,insufficient_dates_for_bootstrap
every_4,holdout,svi,1,-0.002057846661110051,,,,,,,insufficient_dates_for_bootstrap
every_4,train,heston,1,-0.001748703224399853,,,,,,,insufficient_dates_for_bootstrap
every_4,train,pchip,1,-0.0019317631493461853,,,,,,,insufficient_dates_for_bootstrap
every_4,train,sabr,1,-0.0018870195050059528,,,,,,,insufficient_dates_for_bootstrap
every_4,train,svi,1,-0.0019141002678990176,,,,,,,insufficient_dates_for_bootstrap
every_5,holdout,heston,1,-0.0019601112479898436,,,,,,,insufficient_dates_for_bootstrap
every_5,holdout,pchip,1,-0.0021370532678923076,,,,,,,insufficient_dates_for_bootstrap
every_5,holdout,sabr,1,-0.002101741759384798,,,,,,,insufficient_dates_for_bootstrap
every_5,holdout,svi,1,-0.0021360964867025182,,,,,,,insufficient_dates_for_bootstrap
every_5,train,heston,1,-0.00169444918166403,,,,,,,insufficient_dates_for_bootstrap
every_5,train,pchip,1,-0.001889863692668934,,,,,,,insufficient_dates_for_bootstrap
every_5,train,sabr,1,-0.0018416178345465272,,,,,,,insufficient_dates_for_bootstrap
every_5,train,svi,1,-0.0018752094781089392,,,,,,,insufficient_dates_for_bootstrap
seeded_stratified,holdout,heston,1,-0.001536280776413367,,,,,,,insufficient_dates_for_bootstrap
seeded_stratified,holdout,pchip,1,-0.001599045881042685,,,,,,,insufficient_dates_for_bootstrap
seeded_stratified,holdout,sabr,1,-0.0017052351303152335,,,,,,,insufficient_dates_for_bootstrap
seeded_stratified,holdout,svi,1,-0.0016950818898482675,,,,,,,insufficient_dates_for_bootstrap
seeded_stratified,train,heston,1,-0.0019324020876934815,,,,,,,insufficient_dates_for_bootstrap
seeded_stratified,train,pchip,1,-0.002108665727193392,,,,,,,insufficient_dates_for_bootstrap
seeded_stratified,train,sabr,1,-0.0020624801522824113,,,,,,,insufficient_dates_for_bootstrap
seeded_stratified,train,svi,1,-0.0021039540631386682,,,,,,,insufficient_dates_for_bootstrap
