model,series,maturity_months,rmse_pct_points,mae_pct_points,mean_error_pct_points
Nelson_Siegel_VAR,DGS3MO,3,0.20656499549740692,0.12416574132879377,0.08009395234891817
Nelson_Siegel_VAR,DGS6MO,6,0.20199282089521522,0.13163834669865743,-0.06012012033127953
Nelson_Siegel_VAR,DGS1,12,0.24173274527069846,0.18547089870972602,-0.12488653857912792
Nelson_Siegel_VAR,DGS2,24,0.2639470288221174,0.20165733297728744,-0.09605616796114441
Nelson_Siegel_VAR,DGS3,36,0.25617706126417256,0.188122122143224,-0.013428194472331418
Nelson_Siegel_VAR,DGS5,60,0.26982585143314686,0.2090093489548632,0.08278994241424519
Nelson_Siegel_VAR,DGS7,84,0.2704519828336553,0.20997142896977783,0.08724853939712343
Nelson_Siegel_VAR,DGS10,120,0.2548919062323002,0.19849826837015971,0.0905664478645692
Nelson_Siegel_VAR,DGS20,240,0.270497614696631,0.20455006713967727,-0.07441357483348193
Nelson_Siegel_VAR,DGS30,360,0.2579608604552495,0.20397793736059824,-0.058632195986299096
random_walk,DGS3MO,3,0.20586138319487968,0.10538181818181819,-0.010545454545454547
random_walk,DGS6MO,6,0.19755321492517589,0.10869090909090909,-0.010654545454545453
random_walk,DGS1,12,0.19974074105290496,0.12141818181818181,-0.010436363636363636
random_walk,DGS2,24,0.22945072752910667,0.15581818181818183,-0.009781818181818183
random_walk,DGS3,36,0.2428542398604188,0.17490909090909088,-0.008509090909090907
random_walk,DGS5,60,0.2532537355014819,0.1928,-0.005527272727272727
random_walk,DGS7,84,0.25360527668728894,0.19541818181818182,-0.0039999999999999975
random_walk,DGS10,120,0.24600665179476902,0.188,-0.0025454545454545443
random_walk,DGS20,240,0.2353380547212881,0.18196363636363633,-0.0009454545454545414
random_walk,DGS30,360,0.2267421442961145,0.1729090909090909,-0.00039999999999999796
