,PC1,PC2,PC3
3,0.35214277708637065,-0.3978359113377105,0.4983851515235636
6,0.3584042337967439,-0.3709180396498668,0.2503282873453764
12,0.3597216808460204,-0.2893098040654999,-0.03831646081353002
24,0.3570797437432756,-0.13063541918793933,-0.3571020409810882
36,0.3446102446961091,-0.016637792057565534,-0.42671885905876455
60,0.31578706403761037,0.16006148377782034,-0.32339977732690334
84,0.29368275661829596,0.2594052513836931,-0.17183915974070413
120,0.2689454319842644,0.34130257133854913,0.04605050397928464
240,0.2513980875191809,0.4383527362525731,0.30684034941313004
360,0.22444674822457503,0.44894595921558034,0.38403284239348456
